location,date,total_cases,new_cases,total_deaths,people_vaccinated,population
Argentina,2021-09-08,5273430.0,0.0,115799.0,29060293.0,45510324
Argentina,2021-09-09,5273430.0,0.0,115799.0,29110213.0,45510324
Argentina,2021-09-10,5273430.0,0.0,115799.0,29159988.0,45510324
Argentina,2021-09-11,5273430.0,0.0,115799.0,29185688.0,45510324
Argentina,2021-09-12,5293290.0,19860.0,116089.0,29188184.0,45510324
Argentina,2021-09-13,5293290.0,0.0,116089.0,29240176.0,45510324
Argentina,2021-09-14,5293290.0,0.0,116089.0,29286706.0,45510324
Argentina,2021-09-15,5293290.0,0.0,116089.0,29322425.0,45510324
Argentina,2021-09-16,5293290.0,0.0,116089.0,29361207.0,45510324
Argentina,2021-09-17,5293290.0,0.0,116089.0,29410611.0,45510324
Argentina,2021-09-18,5293290.0,0.0,116089.0,29444191.0,45510324
Argentina,2021-09-19,5307511.0,14221.0,116307.0,29464212.0,45510324
Argentina,2021-09-20,5307511.0,0.0,116307.0,29511535.0,45510324
Argentina,2021-09-21,5307511.0,0.0,116307.0,29561402.0,45510324
Argentina,2021-09-22,5307511.0,0.0,116307.0,29618743.0,45510324
Argentina,2021-09-23,5307511.0,0.0,116307.0,29789507.0,45510324
Argentina,2021-09-24,5307511.0,0.0,116307.0,29860374.0,45510324
Argentina,2021-09-25,5307511.0,0.0,116307.0,29892139.0,45510324
Argentina,2021-09-26,5318508.0,10997.0,116434.0,29905252.0,45510324
Argentina,2021-09-27,5318508.0,0.0,116434.0,29959835.0,45510324
Argentina,2021-09-28,5318508.0,0.0,116434.0,30019891.0,45510324
Argentina,2021-09-29,5318508.0,0.0,116434.0,30070714.0,45510324
Argentina,2021-09-30,5318508.0,0.0,116434.0,30139451.0,45510324
Argentina,2021-10-01,5318508.0,0.0,116434.0,30202090.0,45510324
Argentina,2021-10-02,5318508.0,0.0,116434.0,30229565.0,45510324
Argentina,2021-10-03,5327758.0,9250.0,116521.0,30251290.0,45510324
Argentina,2021-10-04,5327758.0,0.0,116521.0,30317121.0,45510324
Argentina,2021-10-05,5327758.0,0.0,116521.0,30426415.0,45510324
Argentina,2021-10-06,5327758.0,0.0,116521.0,30491653.0,45510324
Argentina,2021-10-07,5327758.0,0.0,116521.0,30581021.0,45510324
Argentina,2021-10-08,5327758.0,0.0,116521.0,30610073.0,45510324
Argentina,2021-10-09,5327758.0,0.0,116521.0,30624203.0,45510324
Argentina,2021-10-10,5334391.0,6633.0,116605.0,30635402.0,45510324
Argentina,2021-10-11,5334391.0,0.0,116605.0,30653710.0,45510324
Argentina,2021-10-12,5334391.0,0.0,116605.0,30873800.0,45510324
Argentina,2021-10-13,5334391.0,0.0,116605.0,31136190.0,45510324
Argentina,2021-10-14,5334391.0,0.0,116605.0,31408460.0,45510324
Argentina,2021-10-15,5334391.0,0.0,116605.0,31672634.0,45510324
Argentina,2021-10-16,5334391.0,0.0,116605.0,31807174.0,45510324
Argentina,2021-10-17,5341605.0,7214.0,116691.0,31859242.0,45510324
Argentina,2021-10-18,5341605.0,0.0,116691.0,32159006.0,45510324
Argentina,2021-10-19,5341605.0,0.0,116691.0,32473001.0,45510324
Argentina,2021-10-20,5341605.0,0.0,116691.0,32792059.0,45510324
Argentina,2021-10-21,5341605.0,0.0,116691.0,33080825.0,45510324
Argentina,2021-10-22,5341605.0,0.0,116691.0,33430111.0,45510324
Argentina,2021-10-23,5341605.0,0.0,116691.0,33588681.0,45510324
Argentina,2021-10-24,5350202.0,8597.0,116761.0,33711133.0,45510324
Argentina,2021-10-25,5350202.0,0.0,116761.0,33963103.0,45510324
Argentina,2021-10-26,5350202.0,0.0,116761.0,34229927.0,45510324
Argentina,2021-10-27,5350202.0,0.0,116761.0,34464129.0,45510324
Argentina,2021-10-28,5350202.0,0.0,116761.0,34694439.0,45510324
Argentina,2021-10-29,5350202.0,0.0,116761.0,34898124.0,45510324
Argentina,2021-10-30,5350202.0,0.0,116761.0,34971763.0,45510324
Argentina,2021-10-31,5359226.0,9024.0,116823.0,35090091.0,45510324
Argentina,2021-11-01,5359226.0,0.0,116823.0,35271310.0,45510324
Argentina,2021-11-02,5359226.0,0.0,116823.0,35398735.0,45510324
Argentina,2021-11-03,5359226.0,0.0,116823.0,35540662.0,45510324
Argentina,2021-11-04,5359226.0,0.0,116823.0,35713163.0,45510324
Argentina,2021-11-05,5359226.0,0.0,116823.0,35852975.0,45510324
Argentina,2021-11-06,5359226.0,0.0,116823.0,35915383.0,45510324
Argentina,2021-11-07,5367868.0,8642.0,116887.0,35974616.0,45510324
Argentina,2021-11-08,5367868.0,0.0,116887.0,36086328.0,45510324
Argentina,2021-11-09,5367868.0,0.0,116887.0,36247301.0,45510324
Argentina,2021-11-10,5367868.0,0.0,116887.0,36338544.0,45510324
Argentina,2021-11-11,5367868.0,0.0,116887.0,36435694.0,45510324
Argentina,2021-11-12,5367868.0,0.0,116887.0,36521386.0,45510324
Argentina,2021-11-13,5367868.0,0.0,116887.0,36558299.0,45510324
Argentina,2021-11-14,5377283.0,9415.0,116969.0,36560516.0,45510324
Argentina,2021-11-15,5377283.0,0.0,116969.0,36614206.0,45510324
Argentina,2021-11-16,5377283.0,0.0,116969.0,36675030.0,45510324
Argentina,2021-11-17,5377283.0,0.0,116969.0,36735247.0,45510324
Argentina,2021-11-18,5377283.0,0.0,116969.0,36800291.0,45510324
Argentina,2021-11-19,5377283.0,0.0,116969.0,36857975.0,45510324
Argentina,2021-11-20,5377283.0,0.0,116969.0,36894694.0,45510324
Argentina,2021-11-21,5387530.0,10247.0,117068.0,36913404.0,45510324
Argentina,2021-11-22,5387530.0,0.0,117068.0,36939335.0,45510324
Argentina,2021-11-23,5387530.0,0.0,117068.0,37013052.0,45510324
Argentina,2021-11-24,5387530.0,0.0,117068.0,37084110.0,45510324
Argentina,2021-11-25,5387530.0,0.0,117068.0,37141843.0,45510324
Argentina,2021-11-26,5387530.0,0.0,117068.0,37204843.0,45510324
Argentina,2021-11-27,5387530.0,0.0,117068.0,37240860.0,45510324
Argentina,2021-11-28,5399385.0,11855.0,117182.0,37255852.0,45510324
Argentina,2021-11-29,5399385.0,0.0,117182.0,37321218.0,45510324
Argentina,2021-11-30,5399385.0,0.0,117182.0,37393703.0,45510324
Argentina,2021-12-01,5399385.0,0.0,117182.0,37476690.0,45510324
Argentina,2021-12-02,5399385.0,0.0,117182.0,37556253.0,45510324
Argentina,2021-12-03,5399385.0,0.0,117182.0,37626682.0,45510324
Argentina,2021-12-04,5399385.0,0.0,117182.0,37658571.0,45510324
Argentina,2021-12-05,5415148.0,15763.0,117299.0,37677715.0,45510324
Argentina,2021-12-06,5415148.0,0.0,117299.0,37744726.0,45510324
Argentina,2021-12-07,5415148.0,0.0,117299.0,37811135.0,45510324
Argentina,2021-12-08,5415148.0,0.0,117299.0,37837717.0,45510324
Argentina,2021-12-09,5415148.0,0.0,117299.0,37893713.0,45510324
Argentina,2021-12-10,5415148.0,0.0,117299.0,37948142.0,45510324
Argentina,2021-12-11,5415148.0,0.0,117299.0,37977077.0,45510324
Argentina,2021-12-12,5435325.0,20177.0,117434.0,37990503.0,45510324
Argentina,2021-12-13,5435325.0,0.0,117434.0,38045036.0,45510324
Argentina,2021-12-14,5435325.0,0.0,117434.0,38106046.0,45510324
Argentina,2021-12-15,5435325.0,0.0,117434.0,38161522.0,45510324
Argentina,2021-12-16,5435325.0,0.0,117434.0,38217715.0,45510324
Argentina,2021-12-17,5435325.0,0.0,117434.0,38268541.0,45510324
Argentina,2021-12-18,5435325.0,0.0,117434.0,38293036.0,45510324
Argentina,2021-12-19,5473126.0,37801.0,117597.0,38305508.0,45510324
Argentina,2021-12-20,5473126.0,0.0,117597.0,38356331.0,45510324
Argentina,2021-12-21,5473126.0,0.0,117597.0,38416080.0,45510324
Argentina,2021-12-22,5473126.0,0.0,117597.0,38474912.0,45510324
Argentina,2021-12-23,5473126.0,0.0,117597.0,38515782.0,45510324
Argentina,2021-12-24,5473126.0,0.0,117597.0,38518113.0,45510324
Argentina,2021-12-25,5473126.0,0.0,117597.0,38518285.0,45510324
Argentina,2021-12-26,5559916.0,86790.0,117830.0,38529733.0,45510324
Argentina,2021-12-27,5559916.0,0.0,117830.0,38604922.0,45510324
Argentina,2021-12-28,5559916.0,0.0,117830.0,38681364.0,45510324
Argentina,2021-12-29,5559916.0,0.0,117830.0,38757793.0,45510324
Argentina,2021-12-30,5559916.0,0.0,117830.0,38820857.0,45510324
Argentina,2021-12-31,5559916.0,0.0,117830.0,38825075.0,45510324
Argentina,2022-01-01,5559916.0,0.0,117830.0,38825736.0,45510324
Argentina,2022-01-02,5821928.0,262012.0,118251.0,38840438.0,45510324
Argentina,2022-01-03,5821928.0,0.0,118251.0,38914842.0,45510324
Argentina,2022-01-04,5821928.0,0.0,118251.0,38999788.0,45510324
Argentina,2022-01-05,5821928.0,0.0,118251.0,39088694.0,45510324
Argentina,2022-01-06,5821928.0,0.0,118251.0,39182624.0,45510324
Argentina,2022-01-07,5821928.0,0.0,118251.0,39275316.0,45510324
Argentina,2022-01-08,5821928.0,0.0,118251.0,39314944.0,45510324
